,Rank_avg,Review,Year,Genre,Publisher,Game Title,NA_avg,EU_avg,JP_avg,Other_avg,Global_avg
221,222,91.01,2007,Role-Playing,Activision,World of Warcraft: The Burning Crusade,2.57,1.47,0.0,0.0,4.04
222,223,83.84,2010,Role-Playing,Bethesda Softworks,Fallout: New Vegas,2.375,0.9850000000000001,0.04,0.325,3.7199999999999998
223,224,92.79,2007,Action,Sony Computer Entertainment,God of War II,2.32,0.67,0.04,1.04,4.07
224,225,88.0,2007,Racing,Microsoft Game Studios,Forza Motorsport 2,2.33,1.2650000000000001,0.03,0.405,4.025
225,226,88.49,2005,Sports,Konami Digital Entertainment,World Soccer Winning Eleven 9,0.12,2.26,0.9,0.77,4.06
226,227,70.0,1996,Misc,Sony Computer Entertainment,Namco Museum Vol.3,2.28,1.55,0.16,0.06,4.05
227,228,85.75,2000,Fighting,Namco Bandai Games,Tekken Tag Tournament,1.68,1.51,0.51,0.35,4.05
228,229,89.0,1997,Shooter,Nintendo,Star Fox 64,2.78,0.5799999999999998,0.64,0.04,4.03
229,230,71.0,1984,Sports,Nintendo,Golf,1.22,0.28,2.46,0.04,4.01
230,231,90.6,2008,Role-Playing,Bethesda Softworks,Fallout 3,1.9,1.085,0.07,0.525,3.575
231,232,88.0,2007,Puzzle,Nintendo,Professor Layton and the Diabolical Box,0.8600000000000001,1.8050000000000002,0.92,0.375,3.9699999999999998
232,233,89.05,2009,Shooter,Electronic Arts,Left 4 Dead 2,2.54,0.8400000000000001,0.05,0.36,3.795
233,234,68.0,2005,Misc,Namco Bandai Games,Namco Museum: 50th Anniversary,2.08,1.35,0.0,0.54,3.98
234,235,83.25,2009,Sports,Electronic Arts,EA Sports Active,2.075,1.34,0.06,0.4,3.88
235,236,76.0,1994,Platform,Nintendo,Donkey Kong Land,1.97,0.76,1.07,0.11,3.91
236,237,88.0,2003,Sports,Activision,Tony Hawk's Underground,2.29,1.17,0.01,0.42,3.9
